"청별",2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"청별",계,19.9이하(저체중),19.9이하(저체중),20.0-24.9(정상),20.0-24.9(정상),25.0-29.9(과체중),25.0-29.9(과체중),30.0이상(비만),30.0이상(비만),기타,기타,계,19.9이하(저체중),19.9이하(저체중),20.0-24.9(정상),20.0-24.9(정상),25.0-29.9(과체중),25.0-29.9(과체중),30.0이상(비만),30.0이상(비만),기타,기타,계,19.9이하(저체중),19.9이하(저체중),20.0-24.9(정상),20.0-24.9(정상),25.0-29.9(과체중),25.0-29.9(과체중),30.0이상(비만),30.0이상(비만),기타,기타,계,19.9이하(저체중),19.9이하(저체중),20.0-24.9(정상),20.0-24.9(정상),25.0-29.9(과체중),25.0-29.9(과체중),30.0이상(비만),30.0이상(비만),기타,기타
"청별",인원수 (명),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%),인원수 (명),비율 (%)
"계",254361,51302,20.2,114875,45.2,58707,23.1,29278,11.5,199,0.1,248361,49386,19.9,113116,45.5,57303,23.1,28411,11.4,145,0.1,238604,48822,20.5,108917,45.6,53394,22.4,27349,11.5,122,0.1,221604,44439,20.0,101059,45.6,49935,22.5,26056,11.8,115,0.1
"서울",41899,8496,20.3,19315,46.1,9431,22.5,4629,11.0,28,0.1,41703,8267,19.8,19514,46.8,9415,22.6,4490,10.8,17,0.0,40625,8524,21.0,18866,46.4,8884,21.9,4333,10.7,18,0.0,37356,7787,20.8,17576,47.1,8177,21.9,3797,10.2,19,0.1
"부산·울산",20096,3664,18.2,9144,45.5,4914,24.5,2356,11.7,18,0.1,19986,3570,17.9,9228,46.2,4880,24.4,2296,11.5,12,0.1,18755,3594,19.2,8681,46.3,4396,23.4,2060,11.0,24,0.1,17584,3389,19.3,8000,45.5,4049,23.0,2132,12.1,14,0.1
"대구·경북",24589,4845,19.7,10947,44.5,5811,23.6,2970,12.1,16,0.1,23626,4517,19.1,10592,44.8,5693,24.1,2804,11.9,20,0.1,22059,4034,18.3,9880,44.8,5352,24.3,2773,12.6,20,0.1,20776,3790,18.2,9373,45.1,5010,24.1,2595,12.5,8,0.0
"경인",38253,7707,20.1,17776,46.5,8511,22.2,4234,11.1,25,0.1,37514,7807,20.8,17408,46.4,8385,22.4,3893,10.4,21,0.1,36040,7949,22.1,16881,46.8,7552,21.0,3645,10.1,13,0.0,33978,7435,21.9,15915,46.8,7100,20.9,3508,10.3,20,0.1
"광주·전남",17202,3477,20.2,7661,44.5,4006,23.3,2057,12.0,1,0.0,17117,3445,20.1,7519,43.9,4029,23.5,2119,12.4,5,0.0,15680,3063,19.5,7058,45.0,3644,23.2,1912,12.2,3,0.0,14568,2851,19.6,6413,44.0,3452,23.7,1845,12.7,7,0.0
"대전·충남",19773,4147,21.0,8692,44.0,4574,23.1,2320,11.7,40,0.2,19417,3924,20.2,8679,44.7,4473,23.0,2328,12.0,13,0.1,19435,4135,21.3,8810,45.3,4268,22.0,2219,11.4,3,0.0,17897,3629,20.3,8015,44.8,4035,22.5,2212,12.4,6,0.0
"강원",4778,957,20.0,2205,46.1,1053,22.0,553,11.6,10,0.2,4401,903,20.5,2038,46.3,913,20.7,543,12.3,4,0.1,4313,936,21.7,1886,43.7,940,21.8,550,12.8,1,0.0,4211,837,19.9,1851,44.0,943,22.4,575,13.7,5,0.1
"충북",7700,1480,19.2,3338,43.4,1939,25.2,932,12.1,11,0.1,7426,1486,20.0,3284,44.2,1764,23.8,890,12.0,2,0.0,7438,1478,19.9,3268,43.9,1743,23.4,947,12.7,2,0.0,6964,1398,20.1,3048,43.8,1576,22.6,941,13.5,1,0.0
"전북",10182,2115,20.8,4434,43.5,2335,22.9,1291,12.7,7,0.1,8651,1686,19.5,3905,45.1,1984,22.9,1067,12.3,9,0.1,8736,1777,20.3,3809,43.6,1984,22.7,1163,13.3,3,0.0,7933,1456,18.4,3550,44.7,1888,23.8,1038,13.1,1,0.0
"경남",16591,3279,19.8,7647,46.1,3871,23.3,1793,10.8,1,0.0,16219,3051,18.8,7414,45.7,3831,23.6,1919,11.8,4,0.0,15741,3026,19.2,7294,46.3,3620,23.0,1800,11.4,1,0.0,14262,2620,18.4,6590,46.2,3360,23.6,1679,11.8,13,0.1
"제주",3621,539,14.9,1580,43.6,949,26.2,552,15.2,1,0.0,3479,558,16.0,1486,42.7,895,25.7,535,15.4,5,0.1,3351,561,16.7,1428,42.6,878,26.2,483,14.4,1,0.0,3164,492,15.5,1405,44.4,762,24.1,505,16.0,0,0.0
"인천",28368,6002,21.2,12466,43.9,6615,23.3,3263,11.5,22,0.1,27870,5706,20.5,12589,45.2,6364,22.8,3195,11.5,16,0.1,26497,5422,20.5,11985,45.2,5869,22.1,3199,12.1,22,0.1,24383,4892,20.1,10947,44.9,5510,22.6,3023,12.4,11,0.0
"경기북부",18622,4049,21.7,8480,45.5,4071,21.9,2004,10.8,18,0.1,18411,4015,21.8,8310,45.1,4061,22.1,2008,10.9,17,0.1,17459,3874,22.2,7958,45.6,3691,21.1,1926,11.0,10,0.1,16273,3441,21.1,7443,45.7,3505,21.5,1875,11.5,9,0.1
"강원영동",2687,545,20.3,1190,44.3,627,23.3,324,12.1,1,0.0,2541,451,17.7,1150,45.3,616,24.2,324,12.8,0,0.0,2475,449,18.1,1113,45.0,573,23.2,339,13.7,1,0.0,2255,422,18.7,933,41.4,568,25.2,331,14.7,1,0.0
